category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-examples	standard_init9_ground-2.yml	True	OUT OF MEMORY	103.927004017	4999.999488	OUT OF MEMORY	96.704415339	4999.999488	OUT OF MEMORY	96.717980964	4999.999488	OUT OF MEMORY	100.071214051	4999.999488	OUT OF MEMORY	96.576173273	4999.999488	OUT OF MEMORY	98.704087273	4999.999488	OUT OF MEMORY	99.999816893	4999.999488
ReachSafety-Arrays	array-examples	standard_maxInArray_ground.yml	True	TIMEOUT	301.274553071	3455.54944	TIMEOUT	301.296165977	4097.081344	TIMEOUT	301.641668667	4097.011712	TIMEOUT	301.442762172	4097.630208	TIMEOUT	301.324454781	4097.601536	TIMEOUT	301.014339788	4097.540096	TIMEOUT	301.416509377	4097.527808
ReachSafety-Arrays	array-examples	standard_minInArray_ground-1.yml	False	TIMEOUT	301.252342248	3462.254592	TIMEOUT	301.277191279	4144.29184	TIMEOUT	301.459386599	4144.357376	TIMEOUT	301.53079598	4145.033216	TIMEOUT	301.770115196	4144.869376	TIMEOUT	301.388532659	4144.959488	TIMEOUT	301.313887504	4145.09056
ReachSafety-Arrays	array-examples	standard_minInArray_ground-2.yml	True	TIMEOUT	301.271274138	3462.045696	TIMEOUT	301.39791518	4144.320512	TIMEOUT	301.484208576	4144.427008	TIMEOUT	301.507433785	4144.898048	TIMEOUT	301.464499364	4145.016832	TIMEOUT	301.873157683	4145.065984	TIMEOUT	301.4569282	4144.955392
ReachSafety-Arrays	array-examples	standard_palindrome_ground.yml	True	TIMEOUT	301.174381735	1130.749952	TIMEOUT	300.952515376	1173.31968	TIMEOUT	301.113881399	1165.713408	TIMEOUT	301.163277681	1166.4384	TIMEOUT	301.088814302	1166.262272	TIMEOUT	301.194785292	1165.037568	TIMEOUT	301.141165836	1167.630336
ReachSafety-Arrays	array-examples	standard_partial_init_ground.yml	True	TIMEOUT	301.128139642	837.668864	TIMEOUT	301.104075048	1159.192576	TIMEOUT	301.100402069	1161.4208	TIMEOUT	301.21608969	1180.778496	TIMEOUT	301.090481523	1180.85632	TIMEOUT	301.204968535	1180.758016	TIMEOUT	301.001636337	1180.782592
ReachSafety-Arrays	array-examples	standard_partition_ground-1.yml	False	TIMEOUT	301.003108856	159.633408	TIMEOUT	301.088793032	759.742464	TIMEOUT	301.078520985	760.418304	TIMEOUT	301.092000945	761.397248	TIMEOUT	301.063740712	761.208832	TIMEOUT	301.103059443	761.229312	TIMEOUT	300.975221263	761.208832
ReachSafety-Arrays	array-examples	standard_partition_ground-2.yml	True	TIMEOUT	301.159814394	1155.878912	TIMEOUT	301.182328928	1430.233088	TIMEOUT	301.152473279	1427.795968	TIMEOUT	301.136805892	1396.310016	TIMEOUT	301.166158425	1412.984832	TIMEOUT	301.194321847	1414.086656	TIMEOUT	301.153537861	1396.14208
ReachSafety-Arrays	array-examples	standard_partition_original_ground.yml	True	TIMEOUT	301.10418816	1102.487552	TIMEOUT	301.247474026	1126.023168	TIMEOUT	301.055785246	1156.8128	TIMEOUT	301.048081975	1158.516736	TIMEOUT	300.853041331	1157.615616	TIMEOUT	300.995274514	1158.168576	TIMEOUT	301.117676392	1157.844992
ReachSafety-Arrays	array-examples	standard_password_ground.yml	True	TIMEOUT	301.379606159	3599.68768	TIMEOUT	301.454435535	3985.309696	TIMEOUT	301.285345479	3985.211392	TIMEOUT	301.405597292	4005.588992	TIMEOUT	301.458304713	4005.60128	TIMEOUT	301.413416824	4005.60128	TIMEOUT	301.462247149	4005.625856
ReachSafety-Arrays	array-examples	standard_reverse_ground.yml	True	TIMEOUT	301.159604883	2604.269568	TIMEOUT	301.32212812	2960.707584	TIMEOUT	301.348763416	2960.748544	TIMEOUT	301.308220925	2961.211392	TIMEOUT	301.014525533	2961.260544	TIMEOUT	301.315566668	2961.129472	TIMEOUT	301.26695533	2961.199104
ReachSafety-Arrays	array-examples	standard_running-1.yml	False	TIMEOUT	301.062425337	735.379456	TIMEOUT	301.221437551	1867.730944	TIMEOUT	301.263969317	1867.63264	TIMEOUT	301.253511089	1882.144768	TIMEOUT	301.295315901	1882.300416	TIMEOUT	301.206656369	1882.17344	TIMEOUT	301.288215383	1882.23488
ReachSafety-Arrays	array-examples	standard_running-2.yml	True	TIMEOUT	301.068915625	734.887936	TIMEOUT	301.226407355	1877.303296	TIMEOUT	301.249592207	1877.295104	TIMEOUT	301.262116096	1891.397632	TIMEOUT	301.225020732	1891.508224	TIMEOUT	301.219904818	1891.483648	TIMEOUT	301.209551551	1891.47136
ReachSafety-Arrays	array-examples	standard_sentinel-2.yml	True	OUT OF MEMORY	237.546761558	4999.999488	OUT OF MEMORY	254.291263734	4999.999488	OUT OF MEMORY	242.039794387	4999.999488	OUT OF MEMORY	240.57078333	4999.999488	OUT OF MEMORY	240.989554446	4999.999488	OUT OF MEMORY	242.442950538	4999.999488	OUT OF MEMORY	239.765102943	4999.999488
ReachSafety-Arrays	array-examples	standard_sentinel.i.v+cfa-reducer.yml	True	OUT OF MEMORY	234.711083595	4999.999488	OUT OF MEMORY	246.971784259	4999.999488	OUT OF MEMORY	240.991076436	4999.999488	OUT OF MEMORY	236.412352624	4999.999488	OUT OF MEMORY	240.46622995	4999.999488	OUT OF MEMORY	236.337522349	4999.999488	OUT OF MEMORY	244.281064593	4999.999488
