category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-examples	standard_two_index_04.yml	True	TIMEOUT	301.188040467	900.415488	TIMEOUT	301.148496813	869.875712	TIMEOUT	301.077253783	812.580864	TIMEOUT	300.944104774	794.660864
ReachSafety-Arrays	array-examples	standard_two_index_05.yml	True	TIMEOUT	301.190244234	900.194304	TIMEOUT	301.115325736	817.262592	TIMEOUT	301.100883675	813.371392	TIMEOUT	301.445862822	831.852544
ReachSafety-Arrays	array-examples	standard_two_index_06.yml	True	TIMEOUT	301.184781184	877.572096	TIMEOUT	301.138533044	831.807488	TIMEOUT	301.106870173	799.68256	TIMEOUT	301.155323591	798.937088
ReachSafety-Arrays	array-examples	standard_two_index_07.yml	True	TIMEOUT	301.186759841	882.70848	TIMEOUT	301.170377474	832.405504	TIMEOUT	301.085111186	790.990848	TIMEOUT	301.089753132	812.351488
ReachSafety-Arrays	array-examples	standard_two_index_08.yml	True	TIMEOUT	301.147542254	900.349952	TIMEOUT	301.15538436	858.09152	TIMEOUT	301.123519919	820.77696	TIMEOUT	301.160863264	801.705984
ReachSafety-Arrays	array-examples	standard_two_index_09.yml	True	TIMEOUT	301.051951001	900.452352	TIMEOUT	301.12843527	836.87424	TIMEOUT	301.216922281	812.122112	TIMEOUT	301.153633545	799.670272
ReachSafety-Arrays	array-examples	standard_vararg_ground.yml	True	OUT OF MEMORY	140.711432215	4999.999488	OUT OF MEMORY	140.330470796	4999.999488	OUT OF MEMORY	142.924853639	4999.999488	OUT OF MEMORY	144.587253733	4999.999488
ReachSafety-Arrays	array-examples	standard_vector_difference_ground.yml	True	TIMEOUT	301.381546815	3429.289984	TIMEOUT	301.319395005	3716.87424	TIMEOUT	301.578736222	3716.849664	TIMEOUT	301.577835919	3717.439488
ReachSafety-Arrays	array-industry-pattern	array_assert_loop_dep.yml	False	OUT OF MEMORY	138.376258185	4999.999488	OUT OF MEMORY	133.995971177	4999.999488	OUT OF MEMORY	131.119472088	4999.999488	OUT OF MEMORY	175.802381851	4999.999488
ReachSafety-Arrays	array-industry-pattern	array_monotonic.yml	True	TIMEOUT	301.007567809	138.625024	TIMEOUT	301.015765812	144.011264	TIMEOUT	301.00929048	141.287424	TIMEOUT	301.055193019	142.655488
ReachSafety-Arrays	array-industry-pattern	array_mul_init.yml	True	TIMEOUT	301.159219119	1047.277568	TIMEOUT	301.141562984	2051.3792	TIMEOUT	301.240187574	2051.350528	TIMEOUT	301.585747396	2111.418368
ReachSafety-Arrays	array-industry-pattern	array_of_struct_break.yml	True	OUT OF MEMORY	93.979305009	4999.999488	OUT OF MEMORY	51.015221287	4999.999488	OUT OF MEMORY	255.657343809	4999.999488	TIMEOUT	301.941506814	4999.999488
ReachSafety-Arrays	array-industry-pattern	array_of_struct_loop_dep.yml	False	OUT OF MEMORY	274.964238052	4999.999488	OUT OF MEMORY	217.35907213	4999.999488	OUT OF MEMORY	234.083548564	4999.999488	OUT OF MEMORY	268.239544685	4999.999488
ReachSafety-Arrays	array-industry-pattern	array_of_struct_ptr_cond_init.yml	True	TIMEOUT	301.545457334	742.100992	TIMEOUT	301.259781442	2795.19232	TIMEOUT	301.196000122	2795.25376	TIMEOUT	301.380721307	2809.348096
ReachSafety-Arrays	array-industry-pattern	array_of_struct_ptr_flag_init.yml	True	TIMEOUT	301.18463047	266.633216	TIMEOUT	301.096705311	1147.076608	TIMEOUT	301.152093469	1233.707008	TIMEOUT	301.105881395	1311.010816
ReachSafety-Arrays	array-industry-pattern	array_of_struct_ptr_monotonic.yml	True	TIMEOUT	301.176693661	467.656704	TIMEOUT	301.059493145	512.774144	TIMEOUT	301.057607322	494.7968	TIMEOUT	301.05715903	505.622528
ReachSafety-Arrays	array-industry-pattern	array_of_struct_ptr_mul_init.yml	True	TIMEOUT	301.264937871	1077.395456	TIMEOUT	301.183819994	1993.977856	TIMEOUT	301.208707974	1994.047488	TIMEOUT	301.200939537	2053.378048
ReachSafety-Arrays	array-industry-pattern	array_of_struct_single_elem_init.yml	True	TIMEOUT	301.206276107	688.971776	TIMEOUT	301.233676993	2617.290752	TIMEOUT	302.02917361	2617.229312	TIMEOUT	301.292695752	2656.063488
ReachSafety-Arrays	array-industry-pattern	array_ptr_partial_init.yml	True	TIMEOUT	301.136386717	331.931648	TIMEOUT	301.061683063	380.8256	TIMEOUT	300.685730825	380.64128	TIMEOUT	301.579496138	381.386752
