category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-crafted	zero_sum2.yml	True	TIMEOUT	121.018726311	78.1312	TIMEOUT	120.962496657	77.484032	TIMEOUT	121.017969268	75.104256	TIMEOUT	121.011737696	75.259904
ReachSafety-Arrays	array-crafted	zero_sum3.yml	True	TIMEOUT	121.024993179	74.3424	TIMEOUT	120.965726313	74.493952	TIMEOUT	120.988049598	74.293248	TIMEOUT	121.005157593	75.661312
ReachSafety-Arrays	array-crafted	zero_sum4.yml	True	TIMEOUT	121.020986199	75.452416	TIMEOUT	120.611621507	76.464128	TIMEOUT	121.028497796	74.600448	TIMEOUT	121.050313698	75.73504
ReachSafety-Arrays	array-crafted	zero_sum5.yml	True	TIMEOUT	120.992616385	66.052096	TIMEOUT	120.838423025	66.33472	TIMEOUT	121.06778068	65.396736	TIMEOUT	121.029987739	66.953216
ReachSafety-Arrays	array-crafted	zero_sum_const1.yml	True	TIMEOUT	120.914657213	84.344832	TIMEOUT	120.891272591	78.200832	TIMEOUT	120.772653304	75.337728	TIMEOUT	121.03157331	79.07328
ReachSafety-Arrays	array-crafted	zero_sum_const2.yml	True	TIMEOUT	120.878799337	71.102464	TIMEOUT	120.92326913	70.864896	TIMEOUT	120.784509479	70.873088	TIMEOUT	120.998217513	71.70048
ReachSafety-Arrays	array-crafted	zero_sum_const3.yml	True	TIMEOUT	120.491130218	79.630336	TIMEOUT	121.018227411	79.699968	TIMEOUT	120.938317308	79.527936	TIMEOUT	121.003590005	80.44544
ReachSafety-Arrays	array-crafted	zero_sum_const4.yml	True	TIMEOUT	120.899950282	85.000192	TIMEOUT	120.753530871	84.97152	TIMEOUT	121.045044517	85.01248	TIMEOUT	121.025124284	87.08096
ReachSafety-Arrays	array-crafted	zero_sum_const5.yml	True	TIMEOUT	120.931617356	74.32192	TIMEOUT	120.902195882	74.391552	TIMEOUT	120.95541239	73.756672	TIMEOUT	121.027153679	75.390976
ReachSafety-Arrays	array-crafted	zero_sum_const_m2.yml	True	TIMEOUT	120.9878229	71.774208	TIMEOUT	120.888399334	71.757824	TIMEOUT	121.34014923	71.786496	TIMEOUT	121.020212125	72.470528
ReachSafety-Arrays	array-crafted	zero_sum_const_m3.yml	True	TIMEOUT	120.617722155	83.058688	TIMEOUT	120.970705244	83.456	TIMEOUT	120.84479388	77.713408	TIMEOUT	121.021349585	81.199104
